,steps,numpy,base
216,435,4.850032857055859e-05,5.714577428339648e-05
217,437,3.769109571814105e-05,4.880998000382013e-05
218,439,4.668019428208936e-05,5.991572428424011e-05
219,441,3.930747428707296e-05,5.141989142690103e-05
220,443,5.3096877142836874e-05,5.773976857069231e-05
221,445,3.762055999946564e-05,5.110051428606052e-05
222,447,4.884349714432444e-05,6.169832714087014e-05
223,449,3.979420428939713e-05,7.907234999947831e-05
224,451,5.026970999876669e-05,7.472701714505091e-05
225,453,4.123183999711598e-05,4.9649107142093786e-05
226,455,4.9346021429041035e-05,5.7806245716035065e-05
227,457,3.775797570986989e-05,4.9124025715302974e-05
228,459,4.6349528570967126e-05,5.916522285458216e-05
229,461,3.811680285642589e-05,5.011500142635279e-05
230,463,4.798270428312078e-05,5.8407335717285086e-05
231,465,3.866696571484291e-05,5.044371285683675e-05
232,467,4.45673085726282e-05,6.245586428381751e-05
233,469,4.0815100001054815e-05,5.2936935712101073e-05
234,471,4.6066054286971595e-05,6.505447000173652e-05
235,473,3.8760401426510984e-05,5.6518645711288885e-05
236,475,5.289379714148318e-05,5.9527238567430426e-05
237,477,3.436870142780078e-05,4.974093571945559e-05
238,479,4.424163714637481e-05,5.894244428158605e-05
239,481,3.46421557125203e-05,5.054134857346071e-05
240,483,5.01326042857337e-05,6.088124714681596e-05
241,485,3.886169428629468e-05,5.136357714166349e-05
242,487,4.9390712857919944e-05,7.379119571591477e-05
243,489,3.824938428546635e-05,5.185868142819215e-05
244,491,8.088171428555921e-05,7.070436000503833e-05
245,493,3.954744999906065e-05,5.224139428589426e-05
246,495,7.885943000344144e-05,6.0889827145729215e-05
247,497,4.0270697144088835e-05,5.242173999639427e-05
248,499,4.8164244282296365e-05,6.477947143139317e-05
249,501,4.0416685715172206e-05,5.246692572005226e-05
250,503,4.669461428420618e-05,6.215996142730417e-05
251,505,3.5801405720121695e-05,5.299521571942023e-05
252,507,4.622056000049009e-05,5.584447000208976e-05
253,509,3.624207428271932e-05,5.472776285906938e-05
254,511,4.832061571505619e-05,6.374105571272333e-05
255,513,3.873196428425477e-05,5.6611005716799156e-05
256,515,5.151009285587602e-05,8.233797857038943e-05
257,517,5.415980857183708e-05,8.649814714122581e-05
258,519,5.596712857108546e-05,7.087115999768556e-05
259,521,3.837608285331433e-05,5.4743648569066346e-05
260,523,5.062899714435584e-05,6.170137999756012e-05
261,525,3.715733856941889e-05,5.5059861429721686e-05
262,527,5.205040571516812e-05,6.455379000336896e-05
263,529,4.4658224287559274e-05,6.454538714284094e-05
264,531,5.059370857062667e-05,9.660261142926173e-05
265,533,5.72449614290755e-05,9.188817857128533e-05
266,535,5.2601984282643705e-05,6.784998428494353e-05
267,537,4.3526871431822654e-05,5.6878935715108776e-05
268,539,4.81326157127374e-05,6.014176286043948e-05
269,541,3.836693428248899e-05,5.675431285583597e-05
270,543,5.140493285580305e-05,6.404519142701507e-05
271,545,3.864900571768106e-05,5.707939286367037e-05
272,547,5.089965571512168e-05,7.191736857358982e-05
273,549,3.9486588570330895e-05,5.724988857504546e-05
274,551,5.389088714374728e-05,6.276988143196962e-05
275,553,3.89949242864012e-05,5.803759285689531e-05
276,555,5.203654142470831e-05,6.428212285754852e-05
277,557,3.9323565711778694e-05,5.848835285567994e-05
278,559,5.3115729998743124e-05,7.104484857336502e-05
279,561,4.049156856906068e-05,5.8598232855209585e-05
280,563,5.2173218570845034e-05,6.487313714127854e-05
281,565,3.989496285482476e-05,5.885157571226176e-05
282,567,5.2271824281758336e-05,6.590258285671422e-05
283,569,3.986862571244793e-05,5.945755714232551e-05
284,571,5.1617638569691086e-05,6.477384857134893e-05
285,573,4.044800999898663e-05,6.39980128575449e-05
286,575,5.220222714602382e-05,6.722406714158882e-05
287,577,4.047673142849817e-05,6.026136143191252e-05
288,579,5.529192285913658e-05,7.118186714121423e-05
289,581,4.3081802858588554e-05,6.124642428923316e-05
290,583,5.5853588575181284e-05,6.813641713701404e-05
291,585,4.094851857059568e-05,6.092552000024755e-05
292,587,5.464733000085939e-05,6.90864614235969e-05
293,589,4.1617870000274186e-05,6.195570142933451e-05
294,591,5.535580714422395e-05,7.544231285334848e-05
295,593,4.187285428737856e-05,6.188260143192435e-05
296,595,5.496970000292225e-05,6.818866571328337e-05
297,597,4.20122342828628e-05,6.426137999889242e-05
298,599,5.289522000436721e-05,7.426174571394638e-05
299,601,4.2290214285977915e-05,6.307406714508292e-05
300,603,5.6455699996149634e-05,6.874742285227901e-05
301,605,4.379069143396919e-05,6.462201000041595e-05
302,607,6.36541257154022e-05,7.001309571673378e-05
303,609,4.291122000202969e-05,6.402668142462582e-05
304,611,6.0769588570630215e-05,6.647526571344185e-05
305,613,4.301329428406981e-05,6.504794714471375e-05
306,615,5.769210142846402e-05,6.941614428277327e-05
307,617,4.334750285644467e-05,6.527301142861169e-05
308,619,5.799749714112425e-05,6.886662285978672e-05
309,621,4.352737285704019e-05,6.68021614287032e-05
310,623,6.2633002858742e-05,7.305700857354429e-05
311,625,4.3715058571771284e-05,6.589939999945012e-05
312,627,5.600187142720512e-05,7.07291985755936e-05
313,629,4.419526857028749e-05,6.666933571718151e-05
314,631,5.993371142851953e-05,8.03623271401323e-05
315,633,4.961141857295713e-05,0.00010909033571546647
316,635,9.836773571545823e-05,7.978603571505767e-05
317,637,5.176515571552695e-05,7.659409142953726e-05
318,639,6.25357228584887e-05,7.962331714225001e-05
319,641,5.3850520000975975e-05,9.337257571522579e-05
320,643,5.499217714324394e-05,6.98656928606007e-05
321,645,4.4972007139481974e-05,6.730043000061415e-05
322,647,5.922365285836609e-05,8.231446285727933e-05
323,649,5.597689714444901e-05,8.096358571752458e-05
324,651,5.897132428279811e-05,7.29374628567062e-05
325,653,4.596079999568506e-05,6.903814857131303e-05
326,655,8.45856114340547e-05,8.113692857088089e-05
327,657,6.323333286283222e-05,0.00011061112571821598
328,659,7.440778857146923e-05,8.924039714267044e-05
329,661,6.663518571388392e-05,9.712093713720346e-05
330,663,6.666570714514818e-05,8.460870142828624e-05
331,665,5.7353932856390846e-05,7.20383900001512e-05
332,667,4.780995000276432e-05,6.953672142377141e-05
333,669,8.788771000191836e-05,7.248777714007052e-05
334,671,6.5016985710307e-05,7.411175857799077e-05
335,673,6.444860857040372e-05,7.420711428494542e-05
336,675,6.907481571293568e-05,8.036538571104755e-05
337,677,9.453812428806227e-05,9.013010000022145e-05
338,679,6.545844428338959e-05,8.310969714200057e-05
339,681,6.22649485688141e-05,0.00010235800142774159
340,683,6.11554071370587e-05,7.424937285447543e-05
341,685,4.789753856779758e-05,7.207014714627544e-05
342,687,7.703626286456711e-05,7.443591714556013e-05
343,689,6.201353571668732e-05,7.628358427869639e-05
344,691,6.4128824285165e-05,8.551195857372867e-05
345,693,6.0500694284460876e-05,9.280577999951284e-05
346,695,6.8334211430608e-05,0.00011069590142921827
347,697,6.6314147144502e-05,8.372440714083495e-05
348,699,7.100782571537171e-05,8.287667857075575e-05
349,701,7.061720714253689e-05,8.282073714196616e-05
350,703,6.967512285752621e-05,8.151140000076599e-05
351,705,6.388343570766405e-05,9.90490671392763e-05
352,707,7.90592899985703e-05,0.00011571839714503897
353,709,7.358175857007154e-05,7.745272857001899e-05
354,711,6.562071429081177e-05,7.904325999334106e-05
355,713,6.826315143241247e-05,8.356477286205128e-05
356,715,6.47499742808577e-05,7.90656899984502e-05
357,717,9.547910999961978e-05,8.842155713864486e-05
358,719,9.877348428355098e-05,8.834043714159634e-05
359,721,6.293348000066804e-05,7.704921857501696e-05
360,723,7.038056284987501e-05,8.782846000550698e-05
361,725,7.265280142746634e-05,9.138540285545918e-05
362,727,7.247333428365112e-05,0.00010857457428885807
363,729,7.73959557123557e-05,7.834645142793306e-05
364,731,6.775100856819856e-05,8.859619428351704e-05
365,733,6.680623570771006e-05,9.048871857885387e-05
366,735,6.521264857188466e-05,8.119839856850118e-05
367,737,6.932515857053138e-05,9.322503999490957e-05
368,739,5.942802571163546e-05,0.00013607049857195566
369,741,7.968544428357356e-05,8.603942000523343e-05
370,743,6.0862671429536665e-05,8.614123714453724e-05
371,745,6.582034285591882e-05,7.967911428360301e-05
372,747,6.397327571383877e-05,8.143625857233669e-05
373,749,6.589166714288045e-05,8.370388143053528e-05
374,751,6.424047285690903e-05,0.00010569232428419388
375,753,7.638062571069376e-05,9.237372428417854e-05
376,755,8.139219714004346e-05,0.00011836252856612971
377,757,6.588053856830811e-05,8.09669714258884e-05
378,759,6.786327856908818e-05,8.10797214294975e-05
379,761,7.409904999803984e-05,9.950917428536091e-05
380,763,8.021618428496627e-05,9.263315142951406e-05
381,765,7.804012857117674e-05,9.69694685695036e-05
382,767,7.236042285512668e-05,8.118106714391615e-05
383,769,6.846052856937084e-05,8.332423714559158e-05
384,771,6.442920999688795e-05,8.223924714651991e-05
385,773,6.916293999893241e-05,0.00010250079142809097
386,775,8.294741857493395e-05,0.00010145280857094414
387,777,7.162409714250577e-05,9.822614428360663e-05
388,779,7.044199714333185e-05,8.539817285834164e-05
389,781,7.34415114285574e-05,8.349410856940916e-05
390,783,8.149387286331537e-05,8.686246143302663e-05
391,785,9.769021714808853e-05,9.961615142726389e-05
392,787,7.736264000413939e-05,8.638323000143698e-05
393,789,8.1988564288622e-05,8.463176999742115e-05
